stage,target,feature,ref,auc,lo,hi,n_pos,n_neg
N1,abnormal,log_delta,O_overnight,0.7358541299804464,0.7193650549632277,0.7493712183393858,5085,1315
N1,abnormal,log_delta,U_union,0.7434672170067036,0.7279968086955748,0.7591236022374613,5085,1315
N1,abnormal,log_theta,R_routine,0.7566195961431332,0.7449341011383788,0.7702831705969663,5085,1315
N1,abnormal,log_theta,O_overnight,0.6917724912233476,0.6747231614866974,0.7068202188986836,5085,1315
N1,abnormal,log_theta,U_union,0.7004479737990286,0.6855181743695851,0.7160216249956195,5085,1315
N1,abnormal,rel_delta,R_routine,0.7591314198548628,0.7440322885032553,0.772066072540231,5085,1315
N1,abnormal,rel_delta,O_overnight,0.7143259643101495,0.6971971676107296,0.7284802431473156,5085,1315
N1,abnormal,rel_delta,U_union,0.718197486830348,0.7060098984471406,0.7331072226084812,5085,1315
N1,gen_pathologic,TAR,R_routine,0.8523487665835373,0.8409952783657907,0.8613000363459138,3557,1315
N1,gen_pathologic,TAR,O_overnight,0.7687306451906004,0.754146494638545,0.7836566430401899,3557,1315
N1,gen_pathologic,TAR,U_union,0.7759183145535339,0.7606262254754081,0.7913200560268224,3557,1315
N1,gen_pathologic,DAR,R_routine,0.8715647718684626,0.8605019521688806,0.88158230604281,3557,1315
N1,gen_pathologic,DAR,O_overnight,0.8060378988146332,0.7917682839454635,0.8191157372358212,3557,1315
N1,gen_pathologic,DAR,U_union,0.8107821454188228,0.7957270281128631,0.8260228441598305,3557,1315
N1,gen_pathologic,log_delta,R_routine,0.8747979403329373,0.8644196017068682,0.8864843044079901,3557,1315
N1,gen_pathologic,log_delta,O_overnight,0.7909271174174846,0.7766177773731756,0.8062166416996823,3557,1315
N1,gen_pathologic,log_delta,U_union,0.800922296419741,0.7866833191626157,0.8150470709825205,3557,1315
N1,gen_pathologic,log_theta,R_routine,0.8121271075830766,0.7993957835535541,0.8234007236420452,3557,1315
N1,gen_pathologic,log_theta,O_overnight,0.7233743563540429,0.7082460813333361,0.737778536419644,3557,1315
N1,gen_pathologic,log_theta,U_union,0.7347717936356417,0.7175293825742268,0.7502244920290799,3557,1315
N1,gen_pathologic,rel_delta,R_routine,0.831794640461533,0.818470282462965,0.8442955328352342,3557,1315
N1,gen_pathologic,rel_delta,O_overnight,0.7717910701439137,0.7571624660813985,0.7851320844994993,3557,1315
N1,gen_pathologic,rel_delta,U_union,0.7768038388397109,0.7637433136457347,0.7900865938104565,3557,1315
N1,focal,TAR,R_routine,0.7621431843140718,0.749080508868384,0.7760115220158773,3445,1315
N1,focal,TAR,O_overnight,0.6856602669874784,0.6678211944827208,0.7030804307230295,3445,1315
N1,focal,TAR,U_union,0.692771692042802,0.6766180769406421,0.70976679175791,3445,1315
N1,focal,DAR,R_routine,0.7654816866898078,0.751604104541829,0.7782615766774228,3445,1315
N1,focal,DAR,O_overnight,0.7044666044909965,0.6878104072719217,0.7190983326461603,3445,1315
