X,Y,kappa,bal_acc,fire_rate
1.25,0.3,0.41340076198689546,0.7098415212731543,0.5109656042915747
1.25,0.4,0.42632844502266165,0.7123744117905688,0.42765856737141056
1.25,0.5,0.41861516015567,0.7051901994809477,0.35728936573051434
1.5,0.01,0.05028074628092216,0.5280428569008372,0.9528242347743767
1.5,0.02,0.10520725859458224,0.5580515716375154,0.9004417797412433
1.5,0.05,0.22730506005051887,0.6221864671292475,0.7749289996844431
1.5,0.1,0.3401937949659367,0.6778667974381377,0.6453139791732407
1.5,0.15,0.3917908181738029,0.7008639912162876,0.555774692331966
1.5,0.2,0.41758065198215544,0.7108495345552116,0.48745661091827075
1.5,0.3,0.42727196425949476,0.7109898053110482,0.38939728621016095
1.5,0.4,0.4148443588042724,0.7013518631909368,0.31500473335437046
1.5,0.5,0.37604401950147626,0.6800289939954839,0.2566266961186494
1.75,0.01,0.1087115446700272,0.5599676641117423,0.8990217734301041
1.75,0.02,0.19553084255316844,0.6058484031117317,0.8083780372357211
1.75,0.05,0.3254826154261016,0.6704344642120998,0.6523351214894288
1.75,0.1,0.4096832683889764,0.7080865233585598,0.513805616913853
1.75,0.15,0.4267756802496515,0.7128225521492586,0.4323130325023667
1.75,0.2,0.42154103882484895,0.7072619410649041,0.37062164720732094
1.75,0.3,0.3981807322713786,0.6918241914313628,0.28313348059324706
1.75,0.4,0.3515484213728194,0.6671849424032747,0.22862101609340485
1.75,0.5,0.3056976439099244,0.6438695931724546,0.18507415588513726
2.0,0.01,0.180842091291466,0.5980991245330023,0.8182391921741874
2.0,0.02,0.2919856009616797,0.6542269397297604,0.6925686336383717
2.0,0.05,0.3951877169327094,0.7010811537415889,0.5217734301041338
2.0,0.1,0.41677778088364825,0.7059867477917692,0.393183969706532
2.0,0.15,0.40542847164157947,0.6970429492718022,0.3206847585989271
2.0,0.2,0.38617798476235143,0.685419737295362,0.26893341748185545
2.0,0.3,0.33362472450152225,0.6577533223294909,0.2046386872830546
2.0,0.4,0.28440177897396646,0.6330708626480053,0.16101293783527926
2.0,0.5,0.23300698030551614,0.6081496099041036,0.12795834648153992
2.5,0.01,0.3314178065796334,0.6706474418083088,0.5753392237298832
2.5,0.02,0.3874931571630378,0.6934760787436258,0.4378352792679079
2.5,0.05,0.38417092780606876,0.6855494196763869,0.29402019564531395
2.5,0.1,0.33392222561964346,0.6580045693375187,0.20755758914484065
2.5,0.15,0.2856926441582376,0.633692753195269,0.1615651625118334
2.5,0.2,0.2509753371408969,0.6167141933433207,0.13584727043231304
2.5,0.3,0.20081830257037603,0.5926270020095726,0.10239823288103503
2.5,0.4,0.16158916128612455,0.5741248254430781,0.08015146733985484
2.5,0.5,0.13003214232511562,0.5593718915556803,0.06137582833701483
3.0,0.01,0.3441213266119737,0.6679614736436191,0.33898706216472074
3.0,0.02,0.32972372962494023,0.6571628943816672,0.23816661407384032
3.0,0.05,0.26660249903049793,0.6245612883369758,0.1550173556326917
3.0,0.1,0.20766874191226026,0.5958610950436725,0.10555380246134427
3.0,0.15,0.17040595547736015,0.5782287786783611,0.08322814768065635
3.0,0.2,0.1424269490567175,0.5651485559070224,0.06863363837172609
3.0,0.3,0.10368616398834818,0.5471800838518611,0.04757021142316188
3.0,0.4,0.07804488360658135,0.535397340361594,0.03455348690438624
3.0,0.5,0.05838630733843253,0.5264236927088249,0.025875670558535815
