scale,feature,stat,stratum,rho,p,n,absrho
raw,log_delta,median,generalized,0.023346602512144318,0.6597534445591774,358,0.023346602512144318
raw,DTR,mean,all,-0.021910714905346615,0.5482918203797124,753,0.021910714905346615
raw,DTR,p90,all,-0.021638548032378194,0.553272825424852,753,0.021638548032378194
z,rel_theta,mean,focal,-0.02163810955513975,0.6705111095537308,389,0.02163810955513975
z,DTR,median,generalized,0.021497942715758903,0.6851949167787263,358,0.021497942715758903
raw,rel_delta,median,focal,0.02054960646613711,0.6861833428532995,389,0.02054960646613711
raw,rel_delta,median,all,0.019233267068770262,0.5982289647140652,753,0.019233267068770262
raw,log_delta,median,all,0.018666992044110032,0.6090488532472135,753,0.018666992044110032
raw,low_freq_rel,median,all,0.01820370214670917,0.6179650664840919,753,0.01820370214670917
raw,rel_theta,mean,focal,-0.01783862539666112,0.7257921509418531,389,0.01783862539666112
raw,low_freq_rel,median,focal,0.01695113364093729,0.7389254637142807,389,0.01695113364093729
z,low_freq_rel,mean,all,-0.016732370871315776,0.6466509331065405,753,0.016732370871315776
z,DTR,median,all,0.015337605761495706,0.6743376123945933,753,0.015337605761495706
z,DTR,p99,generalized,-0.015312610246154957,0.7727865779764077,358,0.015312610246154957
raw,DTR,p90,focal,0.015135454583488396,0.7660281655772967,389,0.015135454583488396
raw,log_delta,median,focal,0.015056161793393408,0.7672185713987985,389,0.015056161793393408
z,rel_theta,p90,focal,0.014146429495822095,0.7809146963882647,389,0.014146429495822095
raw,low_freq_rel,mean,generalized,-0.01332453342099041,0.8016274310677526,358,0.01332453342099041
z,low_freq_rel,p99,generalized,0.01327850537528236,0.8022985210182724,358,0.01327850537528236
z,DTR,mean,generalized,0.012874964945456488,0.8081883157380473,358,0.012874964945456488
raw,low_freq_rel,mean,focal,-0.012445026820073634,0.8067089632353215,389,0.012445026820073634
raw,rel_delta,median,generalized,0.012249318273250301,0.817341141974322,358,0.012249318273250301
raw,DTR,median,all,-0.01180831988321406,0.7463141468205731,753,0.01180831988321406
z,rel_delta,median,generalized,-0.01091818719137342,0.8368960017641371,358,0.01091818719137342
z,rel_delta,median,all,0.010772305604291578,0.7679032392527079,753,0.010772305604291578
raw,low_freq_rel,median,generalized,0.010387944104816653,0.8447142426538535,358,0.010387944104816653
z,rel_delta,mean,generalized,-0.009729826738547333,0.8544390845835802,358,0.009729826738547333
z,rel_delta,mean,focal,0.009277351289917154,0.8552742816290375,389,0.009277351289917154
raw,DTR,p99,focal,-0.00924652133082531,0.8557499628256476,389,0.00924652133082531
z,low_freq_rel,p90,generalized,0.007548934245543966,0.8868153649497861,358,0.007548934245543966
raw,rel_delta,mean,all,0.007409452213900933,0.8391454728921327,753,0.007409452213900933
raw,rel_delta,p99,all,0.006722258059746313,0.853887879009091,753,0.006722258059746313
z,DTR,median,focal,-0.006204015750771972,0.9029230045384503,389,0.006204015750771972
raw,rel_delta,p99,generalized,0.006092439504629514,0.9085463501061488,358,0.006092439504629514
raw,DTR,median,focal,-0.005315922251676729,0.9167648672897851,389,0.005315922251676729
z,low_freq_rel,median,all,0.004806763202446329,0.8952348115227223,753,0.004806763202446329
z,DTR,mean,all,-0.004779802773878153,0.8958190704756988,753,0.004779802773878153
raw,rel_theta,p90,focal,0.004508162151469779,0.9293766275504424,389,0.004508162151469779
z,DTR,p99,all,0.00309240135480491,0.932486113511653,753,0.00309240135480491
raw,rel_delta,mean,generalized,0.0015038617843158293,0.9773790908608625,358,0.0015038617843158293
raw,rel_delta,mean,focal,-0.0008916024169360763,0.9860149482856311,389,0.0008916024169360763
z,DTR,p99,focal,-0.0007880137543874866,0.98763962958271,389,0.0007880137543874866
raw,low_freq_rel,mean,all,-0.000319338284382009,0.9930199116916081,753,0.000319338284382009
z,low_freq_rel,mean,focal,9.988906745756872e-05,0.9984331310553214,389,9.988906745756872e-05
z,rel_delta,mean,all,-5.644710333737539e-05,0.9987661653978038,753,5.644710333737539e-05
