stage,feature,arm,nominal,observed,lo,hi,n_obs,n_patients
N2,log TAR,external no-slowing (ON-100),25,27.07,18.2,35.95,835,61
N2,log TAR,external no-slowing (ON-100),50,47.9,36.06,58.61,835,61
N2,log TAR,external no-slowing (ON-100),75,76.17,64.37,85.32,835,61
N2,log TAR,external no-slowing (ON-100),90,89.34,80.38,95.85,835,61
N2,log TAR,external no-slowing (ON-100),97,97.84,94.24,99.66,835,61
N2,log DAR,internal held-out normals,3,3.27,2.52,4.13,17820,1086
N2,log DAR,internal held-out normals,10,9.44,8.15,10.79,17820,1086
N2,log DAR,internal held-out normals,25,22.9,20.81,24.82,17820,1086
N2,log DAR,internal held-out normals,50,47.96,45.41,50.25,17820,1086
N2,log DAR,internal held-out normals,75,74.42,72.13,76.6,17820,1086
N2,log DAR,internal held-out normals,90,89.2,87.64,90.58,17820,1086
N2,log DAR,internal held-out normals,97,95.92,95.05,96.77,17820,1086
N2,log DAR,external no-slowing (ON-100),3,8.38,4.49,13.12,835,61
N2,log DAR,external no-slowing (ON-100),10,17.37,10.82,25.4,835,61
N2,log DAR,external no-slowing (ON-100),25,31.26,22.97,40.17,835,61
N2,log DAR,external no-slowing (ON-100),50,57.72,48.37,67.14,835,61
N2,log DAR,external no-slowing (ON-100),75,82.63,73.37,90.39,835,61
N2,log DAR,external no-slowing (ON-100),90,91.26,82.74,97.63,835,61
N2,log DAR,external no-slowing (ON-100),97,95.57,89.0,99.67,835,61
N3,relative delta,internal held-out normals,3,2.98,2.07,4.37,4836,420
N3,relative delta,internal held-out normals,10,10.05,8.03,13.02,4836,420
N3,relative delta,internal held-out normals,25,24.15,20.83,28.22,4836,420
N3,relative delta,internal held-out normals,50,51.47,47.23,55.9,4836,420
N3,relative delta,internal held-out normals,75,78.08,74.05,81.9,4836,420
N3,relative delta,internal held-out normals,90,92.35,88.87,94.72,4836,420
N3,relative delta,internal held-out normals,97,97.56,95.85,98.87,4836,420
N3,log TAR,internal held-out normals,3,6.2,4.62,8.32,4836,420
N3,log TAR,internal held-out normals,10,14.41,11.61,17.69,4836,420
N3,log TAR,internal held-out normals,25,28.72,24.67,33.18,4836,420
N3,log TAR,internal held-out normals,50,52.38,48.15,57.43,4836,420
N3,log TAR,internal held-out normals,75,76.92,72.88,81.01,4836,420
N3,log TAR,internal held-out normals,90,92.97,90.97,94.92,4836,420
N3,log TAR,internal held-out normals,97,98.22,97.21,98.93,4836,420
N3,log DAR,internal held-out normals,3,3.45,2.31,4.53,4836,420
N3,log DAR,internal held-out normals,10,12.1,9.76,14.34,4836,420
N3,log DAR,internal held-out normals,25,30.46,26.56,34.41,4836,420
N3,log DAR,internal held-out normals,50,56.7,51.57,61.12,4836,420
N3,log DAR,internal held-out normals,75,80.27,76.53,83.26,4836,420
N3,log DAR,internal held-out normals,90,94.35,92.67,95.93,4836,420
N3,log DAR,internal held-out normals,97,98.88,98.22,99.4,4836,420
REM,relative delta,internal held-out normals,3,2.87,2.37,3.53,8629,1155
REM,relative delta,internal held-out normals,10,9.62,8.51,10.94,8629,1155
REM,relative delta,internal held-out normals,25,23.83,21.84,26.02,8629,1155
REM,relative delta,internal held-out normals,50,46.74,44.42,49.65,8629,1155
REM,relative delta,internal held-out normals,75,72.63,70.39,74.93,8629,1155
REM,relative delta,internal held-out normals,90,88.81,87.27,90.24,8629,1155
REM,relative delta,internal held-out normals,97,96.7,95.99,97.4,8629,1155
REM,relative delta,external no-slowing (ON-100),3,5.48,1.29,9.25,493,59
REM,relative delta,external no-slowing (ON-100),10,15.42,9.8,20.55,493,59
REM,relative delta,external no-slowing (ON-100),25,33.06,22.97,41.83,493,59
REM,relative delta,external no-slowing (ON-100),50,57.4,46.36,68.02,493,59
REM,relative delta,external no-slowing (ON-100),75,78.3,69.48,85.9,493,59
REM,relative delta,external no-slowing (ON-100),90,90.87,84.96,95.06,493,59
REM,relative delta,external no-slowing (ON-100),97,98.38,96.06,99.81,493,59
REM,log TAR,internal held-out normals,3,2.84,2.34,3.52,8629,1155
REM,log TAR,internal held-out normals,10,9.7,8.44,11.07,8629,1155
REM,log TAR,internal held-out normals,25,23.92,22.04,26.15,8629,1155
REM,log TAR,internal held-out normals,50,46.62,43.68,49.32,8629,1155
REM,log TAR,internal held-out normals,75,73.88,70.94,76.54,8629,1155
REM,log TAR,internal held-out normals,90,90.71,88.65,92.62,8629,1155
REM,log TAR,internal held-out normals,97,97.09,95.71,98.14,8629,1155
REM,log TAR,external no-slowing (ON-100),3,2.84,0.21,6.17,493,59
REM,log TAR,external no-slowing (ON-100),10,9.74,4.44,15.19,493,59
REM,log TAR,external no-slowing (ON-100),25,23.33,15.62,32.12,493,59
REM,log TAR,external no-slowing (ON-100),50,48.07,38.14,60.67,493,59
REM,log TAR,external no-slowing (ON-100),75,71.6,62.6,81.7,493,59
REM,log TAR,external no-slowing (ON-100),90,88.24,80.78,95.04,493,59
REM,log TAR,external no-slowing (ON-100),97,96.55,92.77,98.9,493,59
REM,log DAR,internal held-out normals,3,3.07,2.47,3.78,8629,1155
REM,log DAR,internal held-out normals,10,9.5,8.26,10.81,8629,1155
REM,log DAR,internal held-out normals,25,23.15,21.11,25.34,8629,1155
REM,log DAR,internal held-out normals,50,46.65,44.15,48.96,8629,1155
REM,log DAR,internal held-out normals,75,72.11,69.67,74.51,8629,1155
REM,log DAR,internal held-out normals,90,89.15,87.32,90.85,8629,1155
REM,log DAR,internal held-out normals,97,96.72,95.96,97.43,8629,1155
REM,log DAR,external no-slowing (ON-100),3,5.07,1.22,8.8,493,59
REM,log DAR,external no-slowing (ON-100),10,18.05,9.74,26.93,493,59
REM,log DAR,external no-slowing (ON-100),25,31.24,21.22,40.81,493,59
REM,log DAR,external no-slowing (ON-100),50,51.32,41.28,60.72,493,59
REM,log DAR,external no-slowing (ON-100),75,75.86,67.04,83.84,493,59
REM,log DAR,external no-slowing (ON-100),90,91.08,84.54,95.55,493,59
REM,log DAR,external no-slowing (ON-100),97,96.75,91.59,99.47,493,59
